iter	Passed	Remaining
1147	3714	5992
1148	3717	5988
1149	3720	5984
1150	3722	5980
1151	3725	5976
1152	3728	5973
1153	3731	5969
1154	3734	5965
1155	3737	5961
1156	3740	5958
1157	3743	5954
1158	3746	5951
1159	3749	5947
1160	3752	5944
1161	3755	5940
1162	3758	5937
1163	3761	5932
1164	3764	5929
1165	3767	5926
1166	3771	5923
1167	3774	5919
1168	3777	5916
1169	3780	5913
1170	3783	5909
1171	3786	5905
1172	3789	5902
1173	3792	5898
1174	3795	5895
1175	3797	5890
1176	3801	5887
1177	3804	5883
1178	3807	5880
1179	3809	5876
1180	3812	5872
1181	3815	5868
1182	3818	5865
1183	3821	5861
1184	3824	5858
1185	3827	5854
1186	3830	5851
1187	3834	5848
1188	3837	5844
1189	3841	5842
1190	3844	5838
1191	3846	5834
1192	3850	5831
1193	3852	5827
1194	3854	5822
1195	3857	5818
1196	3860	5814
1197	3862	5810
1198	3865	5807
1199	3868	5802
1200	3871	5799
1201	3874	5795
1202	3877	5792
1203	3880	5789
1204	3883	5785
1205	3887	5782
1206	3890	5779
1207	3893	5775
1208	3896	5771
1209	3899	5767
1210	3902	5764
1211	3906	5762
1212	3909	5759
1213	3912	5755
1214	3916	5753
1215	3919	5750
1216	3922	5746
1217	3925	5742
1218	3928	5739
1219	3931	5736
1220	3934	5732
1221	3937	5729
1222	3940	5725
1223	3943	5721
1224	3946	5718
1225	3949	5714
1226	3952	5710
1227	3955	5707
1228	3958	5703
1229	3961	5700
1230	3964	5697
1231	3967	5693
1232	3970	5689
1233	3974	5687
1234	3977	5683
1235	3980	5680
1236	3983	5676
1237	3986	5673
1238	3989	5670
1239	3992	5666
1240	3995	5663
1241	3998	5660
1242	4001	5656
1243	4004	5652
1244	4007	5648
1245	4010	5646
1246	4013	5642
1247	4016	5638
1248	4019	5635
1249	4022	5631
1250	4025	5628
1251	4028	5624
1252	4031	5620
1253	4034	5618
1254	4037	5614
1255	4040	5610
1256	4043	5607
1257	4047	5604
1258	4050	5600
1259	4053	5598
1260	4056	5594
1261	4059	5591
1262	4062	5587
1263	4065	5583
1264	4069	5581
1265	4072	5577
1266	4075	5574
1267	4079	5571
1268	4082	5568
1269	4085	5565
1270	4088	5562
1271	4091	5558
1272	4094	5555
1273	4099	5554
1274	4105	5555
1275	4110	5554
1276	4114	5552
1277	4119	5550
1278	4123	5547
1279	4126	5544
1280	4129	5541
1281	4136	5542
1282	4140	5540
1283	4143	5536
1284	4145	5532
1285	4154	5536
1286	4157	5533
1287	4160	5529
1288	4164	5527
1289	4166	5523
1290	4169	5520
1291	4173	5516
1292	4176	5513
1293	4179	5510
1294	4182	5506
1295	4185	5502
1296	4188	5499
1297	4191	5496
1298	4194	5493
1299	4197	5489
1300	4200	5486
1301	4204	5482
1302	4207	5479
1303	4210	5475
1304	4213	5472
1305	4216	5468
1306	4219	5465
1307	4221	5461
1308	4224	5457
1309	4226	5452
1310	4230	5449
1311	4233	5446
1312	4234	5440
1313	4237	5436
1314	4240	5433
1315	4243	5429
1316	4245	5425
1317	4248	5422
1318	4252	5418
1319	4255	5415
1320	4258	5412
1321	4261	5409
1322	4264	5405
1323	4267	5402
1324	4270	5398
1325	4273	5395
1326	4276	5391
1327	4279	5387
1328	4282	5385
1329	4285	5381
1330	4288	5377
1331	4291	5373
1332	4294	5370
1333	4297	5367
1334	4300	5363
1335	4303	5360
1336	4306	5356
1337	4309	5352
1338	4312	5349
1339	4315	5345
1340	4318	5342
1341	4321	5338
1342	4323	5334
1343	4326	5331
1344	4329	5327
1345	4332	5323
1346	4335	5320
1347	4338	5316
1348	4341	5313
1349	4344	5310
1350	4347	5307
1351	4350	5303
1352	4353	5299
1353	4357	5297
1354	4361	5294
1355	4363	5290
1356	4366	5286
1357	4369	5283
1358	4372	5279
1359	4375	5276
1360	4378	5272
1361	4381	5269
1362	4384	5265
1363	4387	5262
1364	4389	5258
1365	4393	5254
1366	4396	5251
1367	4399	5247
1368	4402	5244
1369	4404	5240
1370	4407	5237
1371	4410	5233
1372	4413	5230
1373	4416	5226
1374	4419	5223
1375	4422	5219
1376	4425	5215
1377	4428	5212
1378	4430	5207
1379	4433	5204
1380	4435	5200
1381	4438	5196
1382	4441	5193
1383	4444	5189
1384	4447	5185
1385	4450	5182
1386	4452	5178
1387	4456	5175
1388	4459	5172
1389	4463	5169
1390	4466	5166
1391	4469	5162
1392	4472	5159
1393	4474	5155
1394	4477	5151
1395	4480	5147
1396	4483	5144
1397	4486	5141
1398	4489	5138
1399	4493	5135
1400	4496	5131
1401	4498	5127
1402	4502	5124
1403	4505	5121
1404	4508	5118
1405	4511	5114
1406	4514	5110
1407	4516	5107
1408	4520	5103
1409	4523	5100
1410	4525	5096
1411	4528	5093
1412	4531	5089
1413	4534	5086
1414	4537	5082
1415	4540	5079
1416	4543	5075
1417	4546	5072
1418	4549	5068
1419	4552	5065
1420	4555	5062
1421	4559	5059
1422	4562	5055
1423	4564	5052
1424	4567	5048
1425	4570	5044
1426	4574	5042
1427	4577	5039
1428	4581	5036
1429	4583	5032
1430	4586	5029
1431	4590	5026
1432	4593	5022
1433	4596	5019
1434	4598	5015
1435	4601	5011
1436	4604	5007
1437	4607	5004
1438	4610	5001
1439	4613	4997
1440	4616	4994
1441	4619	4990
1442	4622	4987
1443	4625	4984
1444	4628	4980
1445	4631	4976
1446	4634	4973
1447	4636	4969
1448	4640	4966
1449	4643	4963
1450	4646	4960
1451	4648	4956
1452	4651	4952
1453	4655	4950
1454	4659	4947
1455	4661	4943
1456	4664	4940
1457	4667	4936
1458	4670	4933
1459	4673	4930
1460	4676	4926
1461	4680	4923
1462	4683	4920
1463	4686	4917
1464	4689	4913
1465	4692	4909
1466	4695	4906
1467	4698	4902
1468	4701	4899
1469	4703	4895
1470	4706	4892
1471	4709	4889
1472	4712	4885
1473	4715	4882
1474	4718	4878
1475	4721	4875
1476	4724	4871
1477	4728	4869
1478	4731	4866
1479	4734	4862
1480	4737	4859
1481	4740	4856
1482	4743	4852
1483	4746	4848
1484	4749	4845
1485	4752	4841
1486	4755	4838
1487	4758	4834
1488	4760	4831
1489	4764	4828
1490	4766	4824
1491	4769	4820
1492	4772	4817
1493	4775	4814
1494	4778	4810
1495	4781	4807
1496	4784	4804
1497	4787	4800
1498	4790	4797
1499	4793	4793
1500	4796	4790
1501	4799	4786
1502	4802	4783
1503	4805	4779
1504	4807	4776
1505	4811	4773
1506	4814	4769
1507	4817	4766
1508	4819	4762
1509	4823	4759
1510	4825	4755
1511	4828	4752
1512	4831	4748
1513	4834	4745
1514	4837	4741
1515	4840	4738
1516	4843	4735
1517	4847	4732
1518	4850	4729
1519	4853	4725
1520	4856	4722
1521	4859	4718
1522	4862	4715
1523	4865	4711
1524	4868	4708
1525	4871	4705
1526	4874	4702
1527	4877	4698
1528	4880	4695
1529	4883	4691
1530	4886	4688
1531	4889	4685
1532	4892	4682
1533	4895	4678
1534	4898	4675
1535	4901	4671
1536	4904	4668
1537	4907	4665
1538	4910	4661
1539	4913	4658
1540	4916	4655
1541	4919	4651
1542	4923	4648
1543	4925	4644
1544	4928	4641
1545	4931	4637
1546	4935	4635
1547	4938	4632
1548	4941	4629
1549	4944	4625
1550	4947	4621
1551	4950	4618
1552	4953	4615
1553	4956	4612
1554	4960	4609
1555	4963	4606
1556	4966	4602
1557	4968	4598
1558	4972	4595
1559	4974	4591
1560	4977	4588
1561	4980	4585
1562	4983	4581
1563	4987	4579
1564	4990	4575
1565	4993	4572
1566	4996	4569
1567	4999	4565
1568	5002	4562
1569	5004	4558
1570	5008	4555
1571	5011	4552
1572	5014	4549
1573	5018	4546
1574	5021	4542
1575	5024	4539
1576	5026	4535
1577	5029	4532
1578	5032	4528
1579	5035	4525
1580	5038	4522
1581	5042	4519
1582	5045	4516
1583	5048	4512
1584	5051	4510
1585	5054	4506
1586	5057	4503
1587	5061	4500
1588	5064	4496
1589	5067	4493
1590	5070	4490
1591	5073	4487
1592	5076	4484
1593	5080	4480
1594	5082	4477
1595	5086	4474
1596	5089	4471
1597	5093	4468
1598	5096	4465
1599	5099	4462
1600	5103	4459
